ticker,date,shares_outstanding,float_shares,iwf
AFL,2024-08-16,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-19,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-20,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-21,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-22,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-23,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-26,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-27,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-28,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-29,540644992.0,535871132.0,0.9911700652542066
AFL,2024-08-30,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-03,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-04,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-05,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-06,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-09,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-10,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-11,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-12,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-13,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-16,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-17,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-18,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-19,540644992.0,535871132.0,0.9911700652542066
AFL,2024-09-20,540644992.0,535871132.0,0.9911700652542066
